Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Mary Pickford,Douglas Fairbanks,1920-03-28,1936-01-10,divorce,Canada,actor
Frank Sinatra,Mia Farrow,1966-07-19,1968-08-16,divorce,Italy,actor
Anushka Sharma,Virat Kohli,,,,India,actor
Vittorio Gassman,Shelley Winters,1952-01-01,1954-01-01,,Italy,actor
Ronald Reagan,Nancy Reagan,1952-03-04,2004-06-05,death of subject,United States,actor
Burt Bacharach,Angie Dickinson,1965-01-01,1981-01-01,divorce,United States,musician
Alfred Hitchcock,Alma Reville,1926-12-02,1980-04-29,death of subject,United States,actor
Andre Agassi,Brooke Shields,1997-04-19,1999-01-01,divorce,United States,athlete
Luc Besson,Maïwenn,1992-01-01,1997-01-01,,France,actor
Roman Polanski,Sharon Tate,1968-01-01,1969-01-01,death of subject's spouse,France,actor
Alfred Hitchcock,Alma Reville,1926-12-02,1980-04-29,death of subject,United Kingdom,actor
Daniel Barenboim,Jacqueline du Pré,1967-01-01,1987-01-01,,Palestine,musician
Liam Neeson,Natasha Richardson,1994-07-01,2009-03-18,death of subject's spouse,United States,actor
Liam Neeson,Natasha Richardson,1994-07-01,2009-03-18,death of subject's spouse,United Kingdom,actor
Jane Fonda,Ted Turner,1991-01-01,2001-01-01,,United States,actor
Paul McCartney,Linda McCartney,1969-03-12,1998-04-17,death of subject's spouse,United Kingdom,actor
Paul McCartney,Linda McCartney,1969-03-12,1998-04-17,death of subject's spouse,United Kingdom,musician
Johnny Hallyday,Sylvie Vartan,1965-04-12,1980-11-05,,France,actor
Jim Carrey,Lauren Holly,1996-01-01,1997-01-01,divorce,United States,actor
Andy Roddick,Brooklyn Decker,2009-04-17,,,United States,actor
Roman Polanski,Sharon Tate,1968-01-01,1969-01-01,death of subject's spouse,Poland,actor
Johnny Depp,Amber Heard,2015-02-03,2017-05-23,divorce,United States,actor
Vittorio Gassman,Shelley Winters,1952-01-01,1954-01-01,,Kingdom of Italy,actor
Johnny Depp,Amber Heard,2015-02-03,2017-05-23,divorce,United States,musician
Martin Scorsese,Isabella Rossellini,1979-01-01,1982-01-01,,Italy,actor
Roman Polanski,Emmanuelle Seigner,1989-01-01,,,France,actor
William H. Macy,Felicity Huffman,1997-01-01,,,United States,actor
Sacha Baron Cohen,Isla Fisher,2010-01-01,2024-01-01,divorce,United Kingdom,actor
Gérard Depardieu,Élisabeth Depardieu,1971-02-19,1996-11-02,,France,actor
Albert Finney,Anouk Aimée,1970-01-01,1978-01-01,,United Kingdom,actor
Danny DeVito,Rhea Perlman,1982-01-01,2016-01-01,,United States,actor
Ben Stiller,Christine Taylor,2000-05-01,2017-05-01,legal separation,United States,actor
Roman Polanski,Emmanuelle Seigner,1989-01-01,,,Poland,actor
Tom Hanks,Rita Wilson,1988-04-30,,,United States,actor
Nero,Poppaea Sabina,0062-01-01,0065-01-01,death of subject's spouse,Ancient Rome,musician
Liam Neeson,Natasha Richardson,1994-07-01,2009-03-18,death of subject's spouse,Ireland,actor
Q55245,Joan Plowright,1961-03-18,1989-01-01,,United Kingdom,actor
Jeremy Irons,Sinéad Cusack,1978-01-01,,,United Kingdom,actor
John Travolta,Kelly Preston,1991-01-01,2020-07-12,death of subject's spouse,United States,actor
Arnold Schwarzenegger,Maria Shriver,1986-04-26,2021-01-01,divorce,United States,actor
Neil Young,Daryl Hannah,2018-01-01,,,United States,actor
Jim Carrey,Lauren Holly,1996-01-01,1997-01-01,divorce,Canada,actor
Chad Michael Murray,Sarah Roemer,2015-01-01,,,United States,actor
Gérard Depardieu,Élisabeth Depardieu,1971-02-19,1996-11-02,,Russia,actor
Bridget Fonda,Danny Elfman,2003-11-29,,,United States,actor
Rosanna Arquette,James Newton Howard,1986-09-13,1987-10-02,,United States,actor
Steven Spielberg,Amy Irving,1985-01-01,1989-01-01,,United States,actor
Sophia Bush,Chad Michael Murray,2005-01-01,2006-01-01,divorce,United States,actor
Lenny Kravitz,Lisa Bonet,1987-11-16,1993-04-12,divorce,United States,actor
John Krasinski,Emily Blunt,2010-07-10,,,United States,actor
Tina Turner,Ike Turner,1962-01-01,1978-03-29,divorce,United States,actor
